,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger
326,group12_sub1,23,danish,Female,./final_images\WM09_SC_sad.jpg,e,292.06347200018354,correct,sad,white,male,30,100,130
327,group12_sub1,23,danish,Female,./final_images\BF19_NO_neutral.jpg,e,292.93857670016587,neutral,neutral,black,female,40,100,140
328,group12_sub1,23,danish,Female,./final_images\BF03_SC_sad.jpg,e,293.9774037001189,correct,sad,black,female,30,100,130
329,group12_sub1,23,danish,Female,./final_images\AM11_SC_sad.jpg,e,294.77451710007153,correct,sad,black,male,30,100,130
330,group12_sub1,23,danish,Female,./final_images\AF01_HC_happy.jpg,i,295.51351710013114,correct,happy,black,female,20,200,220
331,group12_sub1,23,danish,Female,./final_images\WM11_HC_happy.jpg,i,296.25048350007273,correct,happy,white,male,20,200,220
332,group12_sub1,23,danish,Female,./final_images\BM13_NC_neutral.jpg,i,297.4354988001287,neutral,neutral,black,male,40,200,140
333,group12_sub1,23,danish,Female,./final_images\WF13_HC_happy.jpg,i,298.3143820001278,correct,happy,white,female,20,200,220
334,group12_sub1,23,danish,Female,./final_images\WF03_HC_happy.jpg,i,299.15549650019966,correct,happy,white,female,20,200,220
335,group12_sub1,23,danish,Female,./final_images\WM05_HO_happy.jpg,i,299.91738990019076,correct,happy,white,male,20,200,220
336,group12_sub1,23,danish,Female,./final_images\AF09_HC_happy.jpg,i,300.69938810006715,correct,happy,black,female,20,200,220
337,group12_sub1,23,danish,Female,./final_images\AF11_HC_happy.jpg,i,301.44740450009704,correct,happy,black,female,20,200,220
338,group12_sub1,23,danish,Female,./final_images\WF03_SO_sad.jpg,e,302.2964202000294,correct,sad,white,female,30,100,130
339,group12_sub1,23,danish,Female,./final_images\BF18_SO_sad.jpg,e,303.1815164000727,correct,sad,black,female,30,100,130
340,group12_sub1,23,danish,Female,./final_images\WF11_NC_neutral.jpg,i,304.0034374999814,neutral,neutral,white,female,40,200,140
341,group12_sub1,23,danish,Female,./final_images\BF03_NC_neutral.jpg,i,305.13758900016546,neutral,neutral,black,female,40,200,140
342,group12_sub1,23,danish,Female,./final_images\BF02_NO_neutral.jpg,e,306.1264818001073,neutral,neutral,black,female,40,100,140
343,group12_sub1,23,danish,Female,./final_images\AF08_SO_sad.jpg,e,306.8874913000036,correct,sad,black,female,30,100,130
344,group12_sub1,23,danish,Female,./final_images\BM16_SC_sad.jpg,e,307.9223496001214,correct,sad,black,male,30,100,130
345,group12_sub1,23,danish,Female,./final_images\WF05_SC_sad.jpg,e,308.72253270004876,correct,sad,white,female,30,100,130
346,group12_sub1,23,danish,Female,./final_images\BF19_NC_neutral.jpg,e,309.70045790006407,neutral,neutral,black,female,40,100,140
347,group12_sub1,23,danish,Female,./final_images\BM18_SO_sad.jpg,e,310.54942569998093,correct,sad,black,male,30,100,130
348,group12_sub1,23,danish,Female,./final_images\WF10_HO_happy.jpg,i,311.35938420007005,correct,happy,white,female,20,200,220
349,group12_sub1,23,danish,Female,./final_images\BM02_HO_happy.jpg,i,312.081483400194,correct,happy,black,male,20,200,220
350,group12_sub1,23,danish,Female,./final_images\AF03_HC_happy.jpg,i,312.92236810014583,correct,happy,black,female,20,200,220
351,group12_sub1,23,danish,Female,./final_images\BF15_HO_happy.jpg,i,313.74240470002405,correct,happy,black,female,20,200,220
352,group12_sub1,23,danish,Female,./final_images\WF02_SC_sad.jpg,e,314.81945940013975,correct,sad,white,female,30,100,130
353,group12_sub1,23,danish,Female,./final_images\BM06_NO_neutral.jpg,e,316.0484530001413,neutral,neutral,black,male,40,100,140
354,group12_sub1,23,danish,Female,./final_images\BF16_HC_happy.jpg,i,316.8803342001047,correct,happy,black,female,20,200,220
355,group12_sub1,23,danish,Female,./final_images\BF02_SC_sad.jpg,e,317.7763888000045,correct,sad,black,female,30,100,130
356,group12_sub1,23,danish,Female,./final_images\WM01_HC_happy.jpg,i,318.5453367000446,correct,happy,white,male,20,200,220
357,group12_sub1,23,danish,Female,./final_images\WM10_SC_sad.jpg,e,319.49646880012006,correct,sad,white,male,30,100,130
358,group12_sub1,23,danish,Female,./final_images\BM11_SO_sad.jpg,e,320.34534390014596,correct,sad,black,male,30,100,130
359,group12_sub1,23,danish,Female,./final_images\AM07_SO_sad.jpg,e,321.29745680000633,correct,sad,black,male,30,100,130
360,group12_sub1,23,danish,Female,./final_images\BM14_HO_happy.jpg,i,322.12832450005226,correct,happy,black,male,20,200,220
361,group12_sub1,23,danish,Female,./final_images\BF04_HO_happy.jpg,i,322.9527442001272,correct,happy,black,female,20,200,220
362,group12_sub1,23,danish,Female,./final_images\BF10_SC_sad.jpg,e,324.1492796000093,correct,sad,black,female,30,100,130
363,group12_sub1,23,danish,Female,./final_images\AM05_SC_sad.jpg,e,324.98847019998357,correct,sad,black,male,30,100,130
364,group12_sub1,23,danish,Female,./final_images\WF03_HO_happy.jpg,i,325.7784685001243,correct,happy,white,female,20,200,220
365,group12_sub1,23,danish,Female,./final_images\WM10_NC_neutral.jpg,e,326.6173382999841,neutral,neutral,white,male,40,100,140
366,group12_sub1,23,danish,Female,./final_images\BF07_NC_neutral.jpg,e,327.4153264001943,neutral,neutral,black,female,40,100,140
367,group12_sub1,23,danish,Female,./final_images\BM02_NO_neutral.jpg,e,328.2243773001246,neutral,neutral,black,male,40,100,140
368,group12_sub1,23,danish,Female,./final_images\BM02_SO_sad.jpg,e,329.04846140020527,correct,sad,black,male,30,100,130
369,group12_sub1,23,danish,Female,./final_images\WF04_SC_sad.jpg,e,329.8133164001629,correct,sad,white,female,30,100,130
370,group12_sub1,23,danish,Female,./final_images\BM04_SC_sad.jpg,e,330.56127120018937,correct,sad,black,male,30,100,130
371,group12_sub1,23,danish,Female,./final_images\AM09_HO_happy.jpg,i,331.3784193000756,correct,happy,black,male,20,200,220
372,group12_sub1,23,danish,Female,./final_images\WF10_NC_neutral.jpg,i,332.32236670004204,neutral,neutral,white,female,40,200,140
373,group12_sub1,23,danish,Female,./final_images\BF19_HO_happy.jpg,i,333.16740020015277,correct,happy,black,female,20,200,220
374,group12_sub1,23,danish,Female,./final_images\WF10_SO_sad.jpg,e,333.97947590006515,correct,sad,white,female,30,100,130
375,group12_sub1,23,danish,Female,./final_images\BF15_NC_neutral.jpg,i,334.9594328000676,neutral,neutral,black,female,40,200,140
376,group12_sub1,23,danish,Female,./final_images\BM18_SC_sad.jpg,e,335.87132340017706,correct,sad,black,male,30,100,130
377,group12_sub1,23,danish,Female,./final_images\WM10_SO_sad.jpg,e,336.8583062000107,correct,sad,white,male,30,100,130
378,group12_sub1,23,danish,Female,./final_images\WM12_HO_happy.jpg,i,337.6613063002005,correct,happy,white,male,20,200,220
379,group12_sub1,23,danish,Female,./final_images\BF08_NC_neutral.jpg,i,338.5634234000463,neutral,neutral,black,female,40,200,140
380,group12_sub1,23,danish,Female,./final_images\BM16_HC_happy.jpg,i,339.35929649998434,correct,happy,black,male,20,200,220
381,group12_sub1,23,danish,Female,./final_images\BF07_NO_neutral.jpg,e,340.5333874002099,neutral,neutral,black,female,40,100,140
382,group12_sub1,23,danish,Female,./final_images\AF07_SO_sad.jpg,e,341.4183571001049,correct,sad,black,female,30,100,130
383,group12_sub1,23,danish,Female,./final_images\WM04_NC_neutral.jpg,i,342.46047400007956,neutral,neutral,white,male,40,200,140
384,group12_sub1,23,danish,Female,./final_images\BF17_SO_sad.jpg,e,343.265357500175,correct,sad,black,female,30,100,130
385,group12_sub1,23,danish,Female,./final_images\AM04_HC_happy.jpg,i,344.0613099001348,correct,happy,black,male,20,200,220
386,group12_sub1,23,danish,Female,./final_images\BM08_HO_happy.jpg,i,344.84128060005605,correct,happy,black,male,20,200,220
387,group12_sub1,23,danish,Female,./final_images\BF06_HO_happy.jpg,e,345.74335660017096,incorrect,happy,black,female,20,100,50
388,group12_sub1,23,danish,Female,./final_images\BF16_NC_neutral.jpg,i,348.0213494000491,neutral,neutral,black,female,40,200,140
389,group12_sub1,23,danish,Female,./final_images\WM04_HC_happy.jpg,i,349.03136480017565,correct,happy,white,male,20,200,220
390,group12_sub1,23,danish,Female,./final_images\BM16_HO_happy.jpg,i,349.8133324000519,correct,happy,black,male,20,200,220
391,group12_sub1,23,danish,Female,./final_images\BF14_HO_happy.jpg,i,350.7672705000732,correct,happy,black,female,20,200,220
392,group12_sub1,23,danish,Female,./final_images\AM01_HC_happy.jpg,i,351.9384410001803,correct,happy,black,male,20,200,220
393,group12_sub1,23,danish,Female,./final_images\WF03_NC_neutral.jpg,e,353.3552867001854,neutral,neutral,white,female,40,100,140
