,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger
257,ah,40,Danish,Male,./final_images\BF10_SO_sad.jpg,e,266.5556164998561,correct,sad,black,female,30,100,130
258,ah,40,Danish,Male,./final_images\BF19_SO_sad.jpg,e,267.37768569984473,correct,sad,black,female,30,100,130
259,ah,40,Danish,Male,./final_images\AM6_SO_sad.jpg,e,268.06570589984767,correct,sad,black,male,30,100,130
260,ah,40,Danish,Male,./final_images\WM08_NO_neutral.jpg,e,269.7466655999888,neutral,neutral,white,male,40,100,140
261,ah,40,Danish,Male,./final_images\BF16_NO_neutral.jpg,i,272.560591599904,neutral,neutral,black,female,40,200,140
262,ah,40,Danish,Male,./final_images\BF14_SC_sad.jpg,e,273.33863379992545,correct,sad,black,female,30,100,130
263,ah,40,Danish,Male,./final_images\WF02_SO_sad.jpg,e,274.1656473998446,correct,sad,white,female,30,100,130
264,ah,40,Danish,Male,./final_images\AM03_HO_happy.jpg,i,274.92766119982116,correct,happy,black,male,20,200,220
265,ah,40,Danish,Male,./final_images\AM03_SO_sad.jpg,e,275.8577099000104,correct,sad,black,male,30,100,130
266,ah,40,Danish,Male,./final_images\WM05_HC_happy.jpg,i,276.7616353998892,correct,happy,white,male,20,200,220
267,ah,40,Danish,Male,./final_images\WF06_HC_happy.jpg,i,278.46977699990384,correct,happy,white,female,20,200,220
268,ah,40,Danish,Male,./final_images\BF18_SO_sad.jpg,e,279.3026035998482,correct,sad,black,female,30,100,130
269,ah,40,Danish,Male,./final_images\BF16_HO_happy.jpg,i,280.2356053998228,correct,happy,black,female,20,200,220
270,ah,40,Danish,Male,./final_images\BM13_NC_neutral.jpg,i,281.32965239998884,neutral,neutral,black,male,40,200,140
271,ah,40,Danish,Male,./final_images\BM15_SC_sad.jpg,e,282.23967589996755,correct,sad,black,male,30,100,130
272,ah,40,Danish,Male,./final_images\WM07_SO_sad.jpg,e,283.16360990004614,correct,sad,white,male,30,100,130
