Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
63,group12_sub1,23,danish,male,./final_images\BM08_HC_happy.jpg,i,53.277859000023454,correct,happy,black,male,20,200,220,22
64,group12_sub1,23,danish,male,./final_images\WF02_HC_happy.jpg,e,54.30791960004717,incorrect,happy,white,female,20,100,50,23
65,group12_sub1,23,danish,male,./final_images\BF05_HO_happy.jpg,i,55.081841100007296,correct,happy,black,female,20,200,220,22
66,group12_sub1,23,danish,male,./final_images\WF12_NO_neutral.jpg,e,56.05485339998268,neutral,neutral,white,female,40,100,140,43
67,group12_sub1,23,danish,male,./final_images\WF04_NC_neutral.jpg,e,56.904930900083855,neutral,neutral,white,female,40,100,140,43
68,group12_sub1,23,danish,male,./final_images\WF11_SO_sad.jpg,e,57.91382980020717,correct,sad,white,female,30,100,130,33
69,group12_sub1,23,danish,male,./final_images\WM08_HO_happy.jpg,i,58.67898910003714,correct,happy,white,male,20,200,220,23
70,group12_sub1,23,danish,male,./final_images\BF12_SO_sad.jpg,i,59.7268991000019,incorrect,sad,black,female,30,200,50,32
71,group12_sub1,23,danish,male,./final_images\AF03_SC_sad.jpg,e,60.50389980012551,correct,sad,asian,female,30,100,130,31
72,group12_sub1,23,danish,male,./final_images\BM05_SC_sad.jpg,e,61.39783120015636,correct,sad,black,male,30,100,130,32
73,group12_sub1,23,danish,male,./final_images\AM09_SO_sad.jpg,e,62.17083000019193,correct,sad,asian,male,30,100,130,31
74,group12_sub1,23,danish,male,./final_images\AM03_HC_happy.jpg,i,63.169895300176,correct,happy,asian,male,20,200,220,21
75,group12_sub1,23,danish,male,./final_images\BM03_HO_happy.jpg,i,63.90080519998446,correct,happy,black,male,20,200,220,22
76,group12_sub1,23,danish,male,./final_images\BF18_NC_neutral.jpg,e,64.75681210006587,neutral,neutral,black,female,40,100,140,42
77,group12_sub1,23,danish,male,./final_images\BF20_HO_happy.jpg,i,65.56785300001502,correct,happy,black,female,20,200,220,22
78,group12_sub1,23,danish,male,./final_images\WM04_SO_sad.jpg,e,66.38879410014488,correct,sad,white,male,30,100,130,33
79,group12_sub1,23,danish,male,./final_images\AM6_HO_happy.jpg,i,67.13988360017538,correct,happy,asian,male,20,200,220,21
80,group12_sub1,23,danish,male,./final_images\AF02_SC_sad.jpg,e,67.91687549999915,correct,sad,asian,female,30,100,130,31
81,group12_sub1,23,danish,male,./final_images\WM12_NO_neutral.jpg,e,68.96685350011103,neutral,neutral,white,male,40,100,140,43
82,group12_sub1,23,danish,male,./final_images\WF12_HO_happy.jpg,i,69.8578721000813,correct,happy,white,female,20,200,220,23
83,group12_sub1,23,danish,male,./final_images\WF12_HC_happy.jpg,i,70.65692340000533,correct,happy,white,female,20,200,220,23
84,group12_sub1,23,danish,male,./final_images\BF17_HC_happy.jpg,i,71.49779650010169,correct,happy,black,female,20,200,220,22
85,group12_sub1,23,danish,male,./final_images\AM10_HO_happy.jpg,i,72.20988690014929,correct,happy,asian,male,20,200,220,21
86,group12_sub1,23,danish,male,./final_images\AM11_HC_happy.jpg,i,73.12387500004843,correct,happy,asian,male,20,200,220,21
87,group12_sub1,23,danish,male,./final_images\WF15_NO_neutral.jpg,e,73.9518066002056,neutral,neutral,white,female,40,100,140,43
88,group12_sub1,23,danish,male,./final_images\BF04_NO_neutral.jpg,e,74.69794920017011,neutral,neutral,black,female,40,100,140,42
89,group12_sub1,23,danish,male,./final_images\BF15_NO_neutral.jpg,e,75.52595170005225,neutral,neutral,black,female,40,100,140,42
90,group12_sub1,23,danish,male,./final_images\WF06_NO_neutral.jpg,e,76.41984500014223,neutral,neutral,white,female,40,100,140,43
91,group12_sub1,23,danish,male,./final_images\BM17_HC_happy.jpg,i,77.25392970000394,correct,happy,black,male,20,200,220,22
92,group12_sub1,23,danish,male,./final_images\BF14_HC_happy.jpg,i,78.00583140016533,correct,happy,black,female,20,200,220,22
